raman_shift;e00;e10;e_unknown
3115.145787;43895.28931;11254.80309;29600.72825
3119.325318;45800.13122;11140.62872;30288.42543
3123.502622;47936.99809;10971.53967;31087.29782
3127.6777;49983.89004;10937.53571;31838.34523
3131.850555;52154.80715;10829.61662;32694.56751
3136.021188;54317.74953;10962.7822;33628.96446
3140.1896;56677.71728;11016.0322;34679.53591
3144.355795;58882.71047;11163.36641;35656.28167
3148.519772;61024.72922;11355.78461;36669.20155
3152.681535;63345.77359;11563.28656;37754.29536
3156.841085;65699.84367;11875.87203;38931.5629
3160.998423;67973.93956;12171.5408;40107.00396
3165.153552;70130.06131;12546.29263;41168.61835
3169.306473;72193.20902;12910.12729;42140.40586
3173.701279;74423.38276;13422.04454;43205.36627
3177.84966;76600.5826;13811.04414;44475.49936
3181.995838;78612.80861;14356.12585;45508.80491
3186.139816;80701.06087;14929.28944;46556.28271
3190.281596;82412.33945;15442.53465;47579.93251
3194.421177;84169.64442;16146.86125;48624.75409
3198.558564;85849.97584;16745.26899;49583.74721
3202.450571;87421.33377;17363.7576;50479.91163
3206.583701;88854.7183;17907.32685;51318.24711
3210.71464;90100.12947;18685.97648;52233.75338
3214.843391;91378.56736;19236.70623;53160.43022
3218.969955;92449.03202;19971.51584;53823.27734
3223.094334;93556.52353;20681.40505;54421.29451
3227.21653;94508.04193;21349.37359;55114.48144
3231.336544;95346.5873;22024.42119;55740.83788
3235.454379;96066.1597;22537.5476;56226.36354
3239.570035;96706.75917;23229.75252;56739.05816
3243.683515;97317.38579;23614.03569;57122.92146
3247.79482;97840.03961;24111.39683;57429.95315
3251.903952;98124.72069;24334.83565;57594.15294
3256.010913;98679.42908;24546.35187;57790.52054
3260.115704;98694.16485;24744.9452;57776.05566
3264.218328;98921.92806;24823.61535;57690.758
3268.318785;99079.71874;24983.36202;57650.62726
3272.417078;99351.53698;25040.18492;57614.66313
3276.513209;99388.38281;25077.08374;57442.8653
3280.607178;99538.25629;25145.05819;57219.23345
3284.698989;99471.15749;25153.10794;57286.76727
3288.788641;99336.08644;25226.23269;57004.46644
3292.635757;99682.04321;25297.43214;56870.33064
3296.721226;99551.02784;25289.70595;56581.35952
3300.804543;99690.0404;25340.05381;56436.55277
3304.88571;99832.08093;25407.4754;56313.91003
3308.964727;99859.14948;25378.97038;56314.43099
3313.041596;100039.2461;25374.53844;56321.11528
3317.11632;100632.3709;25581.17923;56342.96256
3321.1889;100955.5238;25646.89241;56746.97248
3325.259338;101310.7049;25711.67766;56765.14468
3329.327635;101970.9144;25848.53462;57141.4788
3333.154666;102690.1521;25966.46296;57375.97449
3337.218812;103400.4182;26012.46231;57953.63136
3341.280823;104217.7128;26107.53233;58437.44906
3345.3407;105134.0358;26293.67266;59078.4272
3349.398444;106008.3873;26394.88294;59467.56541
3353.454058;106935.7674;26503.16281;60121.86331
3357.507542;107869.1761;26449.51191;60806.3205
3361.5589;108998.6134;26601.92985;61669.93661
3365.37;110293.0795;26654.41628;62415.71123
3369.417233;111561.5743;26730.97082;63270.64397
3373.462344;112560.0979;26803.59308;64287.73443
3377.505333;114046.6503;26813.28269;64940.9822
3381.546204;115174.2316;26840.03925;66017.38689
3385.584957;116451.8419;26656.86239;66991.94807
3389.621595;117729.4811;26659.7517;67814.66533
3393.418852;118826.1493;26510.70679;68904.53826
3397.451388;120229.8466;26661.72726;69859.56644
3401.481812;121293.573;26383.81272;70859.74944
3405.510128;122452.3285;26411.96275;71794.08684
3409.536335;123598.1133;26257.17695;72634.5782
3413.560438;124504.9273;26047.4549;73370.2231
3417.345905;125201.7705;25769.79619;74063.0211
3421.365924;125805.6431;25502.2004;74648.97175
3425.383842;126326.5451;25173.66711;75281.07463
3429.399661;126678.4765;24898.1959;75668.32928
3433.413382;127048.4373;24605.78633;76027.73525
3437.189087;127354.4276;24188.43797;76247.29211
3441.19874;127466.4475;23858.1504;76532.99939
3445.206301;127502.497;23511.92316;76624.85665
3449.21177;127279.5761;23056.75583;76667.86342
3453.21515;127040.6849;22656.64796;76720.01924
3456.98113;126961.8234;22342.5991;76734.32365
3460.980458;126591.9917;21911.60879;76565.77619
3464.977701;126191.1898;21516.6766;76195.37638
3468.972861;125572.4177;21033.80206;75994.12377
3472.96594;124698.6755;20672.98471;75419.01786
3476.722232;123783.9632;20098.2241;74804.05819
3480.711274;122948.281;19626.51976;74032.24428
3484.69824;121795.6287;19184.87122;73206.57564
3488.683131;120527.0065;18651.27801;72384.0518
3492.431722;119245.4145;18206.73966;71417.67226
3496.412589;117824.8525;17737.25571;70285.43653
3500.391386;116433.3208;17310.82566;69138.34412
